A,B,input_time,output_time,delay,delay_si_format
12,3,3.910099999996445e-06,3.930199999996489e-06,2.0100000000044073e-08,20.1 n
12,4,3.930099999996489e-06,3.950199999996533e-06,2.0100000000044073e-08,20.1 n
12,5,3.950099999996533e-06,3.970199999996577e-06,2.0100000000044073e-08,20.1 n
12,6,3.970099999996577e-06,3.990199999996621e-06,2.0100000000044073e-08,20.1 n
12,7,3.99009999999662e-06,4.010199999996665e-06,2.0100000000045768e-08,20.1 n
12,8,4.010099999996664e-06,4.030199999996708e-06,2.0100000000044073e-08,20.1 n
12,9,4.030099999996708e-06,4.050199999996752e-06,2.0100000000044073e-08,20.1 n
12,10,4.050099999996752e-06,4.070199999996796e-06,2.0100000000044073e-08,20.1 n
12,11,4.070099999996796e-06,4.09019999999684e-06,2.0100000000044073e-08,20.1 n
12,12,4.09009999999684e-06,4.110199999996884e-06,2.0100000000044073e-08,20.1 n
12,13,4.110099999996884e-06,4.130199999996928e-06,2.0100000000044073e-08,20.1 n
12,14,4.130099999996927e-06,4.150199999996972e-06,2.0100000000045768e-08,20.1 n
12,15,4.150099999996971e-06,4.170199999997015e-06,2.0100000000044073e-08,20.1 n
13,0,4.170099999997015e-06,4.190199999997059e-06,2.0100000000044073e-08,20.1 n
13,1,4.190099999997059e-06,4.210199999997103e-06,2.0100000000044073e-08,20.1 n
13,2,4.210099999997103e-06,4.230199999997147e-06,2.0100000000044073e-08,20.1 n
13,3,4.230099999997147e-06,4.250199999997191e-06,2.0100000000044073e-08,20.1 n
13,4,4.250099999997191e-06,4.270199999997235e-06,2.0100000000044073e-08,20.1 n
13,5,4.270099999997234e-06,4.290199999997279e-06,2.0100000000045768e-08,20.1 n
13,6,4.290099999997278e-06,4.310199999997322e-06,2.0100000000044073e-08,20.1 n
13,7,4.310099999997322e-06,4.330199999997366e-06,2.0100000000044073e-08,20.1 n
13,8,4.330099999997366e-06,4.35019999999741e-06,2.0100000000044073e-08,20.1 n
13,9,4.35009999999741e-06,4.370199999997454e-06,2.0100000000044073e-08,20.1 n
13,10,4.370099999997454e-06,4.390199999997498e-06,2.0100000000044073e-08,20.1 n
13,11,4.390099999997498e-06,4.410199999997542e-06,2.0100000000043226e-08,20.1 n
13,12,4.410099999997541e-06,4.430199999997585e-06,2.0100000000043226e-08,20.1 n
13,13,4.430099999997585e-06,4.450199999997629e-06,2.0100000000044073e-08,20.1 n
13,14,4.450099999997629e-06,4.470199999997673e-06,2.0100000000044073e-08,20.1 n
13,15,4.470099999997673e-06,4.490199999997717e-06,2.0100000000044073e-08,20.1 n
14,0,4.490099999997717e-06,4.510199999997761e-06,2.0100000000044073e-08,20.1 n
14,1,4.510099999997761e-06,4.530199999997805e-06,2.0100000000044073e-08,20.1 n
14,2,4.530099999997805e-06,4.550199999997849e-06,2.0100000000043226e-08,20.1 n
14,3,4.550099999997848e-06,4.570199999997892e-06,2.0100000000043226e-08,20.1 n
